05-04-2023 17:23:44.823,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:24:39.500,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:39.636,1,RECV,7E001097010013A2004208FCCDFFFE44420030EC
05-04-2023 17:24:40.011,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:40.134,3,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:24:40.526,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:40.697,5,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:24:41.027,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:41.200,7,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:24:41.529,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:41.701,9,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:24:42.044,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:42.201,11,RECV,7E001097010013A2004208FCCDFFFE44420030EC
05-04-2023 17:24:42.545,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:42.700,13,RECV,7E001097010013A2004208FCCDFFFE44420030EC
05-04-2023 17:24:43.061,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:43.201,15,RECV,7E001097010013A2004208FCCDFFFE44420030EC
05-04-2023 17:24:43.575,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:43.712,17,RECV,7E001097010013A2004208FCCDFFFE44420030EC
05-04-2023 17:24:44.087,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:44.256,19,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:24:44.603,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:44.756,21,RECV,7E001097010013A2004208FCCDFFFE44420030EC
05-04-2023 17:24:45.118,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:24:45.256,23,RECV,7E001097010013A2004208FCCDFFFE44420031EB
