05-04-2023 17:07:42.893,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:07:51.715,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:51.846,1,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:52.223,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:52.345,3,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:52.736,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:52.908,5,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:53.250,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:53.404,7,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:53.763,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:53.901,9,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:54.279,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:54.403,11,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:54.783,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:54.923,13,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:55.285,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:55.409,15,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:55.801,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:55.973,17,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:56.302,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:56.475,19,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:56.818,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:56.976,21,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:57.335,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:57.474,23,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:57.851,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:58.036,25,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:58.366,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:58.539,27,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:58.868,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:59.039,29,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:59.370,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:07:59.539,31,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:07:59.883,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:00.038,33,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:00.389,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:00.524,35,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:00.893,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:01.018,37,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:01.408,38,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:01.577,39,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:01.908,40,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:02.079,41,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:02.422,42,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:02.577,43,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:02.937,44,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:03.077,45,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:03.452,46,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:03.591,47,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:08:03.967,48,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:08:04.139,49,RECV,7E001097010013A2004208FCCDFFFE44420028F4
