05-04-2023 17:26:53.145,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:27:39.910,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:40.078,1,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:27:40.421,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:40.575,3,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:27:40.936,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:41.079,5,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:27:41.453,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:41.576,7,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:27:41.953,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:42.093,9,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:27:42.456,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:42.582,11,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:27:42.958,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:43.097,13,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:27:43.474,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:43.644,15,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:27:43.975,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:44.145,17,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:27:44.476,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:44.648,19,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:27:44.991,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:45.147,21,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:27:45.506,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:45.644,23,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:27:46.019,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:46.158,25,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:27:46.521,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:46.707,27,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:27:47.023,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:47.147,29,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:27:47.526,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:47.712,31,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:27:48.042,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:48.212,33,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:27:48.554,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:48.709,35,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:27:49.072,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:49.210,37,RECV,7E001097010013A2004208FCCDFFFE44420035E7
05-04-2023 17:27:49.587,38,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:27:49.773,39,RECV,7E001097010013A2004208FCCDFFFE44420035E7
