05-04-2023 17:43:11.706,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:44:03.317,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:03.499,1,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:03.830,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:04.002,3,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:04.332,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:04.502,5,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:04.847,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:05.004,7,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 17:44:05.349,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:05.503,9,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:05.849,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:06.004,11,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:06.366,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:06.504,13,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:06.869,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:07.008,15,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:07.369,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:07.507,17,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:07.872,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:08.014,19,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:08.389,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:08.512,21,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:08.904,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:09.076,23,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:09.420,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:09.575,25,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:09.922,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:10.078,27,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:10.436,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:10.576,29,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:10.951,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:11.139,31,RECV,7E001097010013A2004208FCCDFFFE44420036E6
05-04-2023 17:44:11.468,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:11.637,33,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:11.982,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:12.135,35,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:12.496,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:12.635,37,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:12.998,38,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:13.136,39,RECV,7E001097010013A2004208FCCDFFFE44420036E6
05-04-2023 17:44:13.500,40,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:13.638,41,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:14.013,42,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:14.153,43,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:14.530,44,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:14.697,45,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:15.041,46,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:15.197,47,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:15.544,48,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:15.699,49,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:16.047,50,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:16.202,51,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:16.563,52,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:16.703,53,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:17.079,54,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:17.216,55,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:17.580,56,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:17.703,57,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:18.095,58,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:18.265,59,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:18.607,60,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:18.763,61,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:44:19.122,62,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:19.260,63,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:19.622,64,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:19.762,65,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:44:20.139,66,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:44:20.263,67,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:44:20.641,68,SENT,7E000F17010013A2004208FCCDFFFE0244429A
