05-04-2023 17:59:53.331,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 18:00:33.744,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:33.863,1,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 18:00:34.254,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:34.425,3,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:00:34.769,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:34.922,5,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:00:35.282,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:35.421,7,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:00:35.796,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:35.983,9,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:00:36.300,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:36.423,11,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:00:36.802,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:36.940,13,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:00:37.302,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:37.427,15,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:00:37.815,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:37.989,17,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:00:38.319,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:38.488,19,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:00:38.833,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:00:38.987,21,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:00:39.350,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
