05-04-2023 17:29:47.487,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:30:39.982,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:40.144,1,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:40.487,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:40.643,3,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:41.002,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:41.143,5,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:41.504,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:41.646,7,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:42.019,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:42.145,9,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:42.522,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:42.659,11,RECV,7E001097010013A2004208FCCDFFFE44420035E7
05-04-2023 17:30:43.035,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:43.205,13,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:43.536,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:43.707,15,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:44.050,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:44.206,17,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:44.566,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:44.705,19,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:45.083,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:45.206,21,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:45.598,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:45.768,23,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:46.112,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:46.268,25,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:46.615,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:46.770,27,RECV,7E001097010013A2004208FCCDFFFE44420035E7
05-04-2023 17:30:47.130,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:47.270,29,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:47.644,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:47.783,31,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:48.158,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:48.329,33,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:48.660,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:48.831,35,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:49.176,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:49.328,37,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:49.689,38,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:49.829,39,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:50.204,40,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:50.329,41,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:50.704,42,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:50.828,43,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:51.206,44,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:51.343,45,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:51.719,46,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:51.890,47,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:52.236,48,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:52.391,49,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:52.751,50,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:52.888,51,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:53.263,52,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:53.402,53,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:30:53.780,54,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:53.951,55,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:54.293,56,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:54.449,57,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:54.809,58,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:54.948,59,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:30:55.326,60,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:55.512,61,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:55.841,62,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:56.012,63,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:56.341,64,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:56.512,65,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:56.858,66,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:57.013,67,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:57.372,68,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:57.513,69,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:57.875,70,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:58.013,71,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:58.375,72,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:58.516,73,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:58.889,74,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:59.013,75,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:59.406,76,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:30:59.576,77,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:30:59.921,78,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:00.077,79,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:00.436,80,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:00.575,81,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:00.949,82,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:01.072,83,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:01.465,84,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:01.635,85,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:01.978,86,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:02.135,87,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:02.494,88,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:02.633,89,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:03.011,90,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:03.134,91,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:03.525,92,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:03.694,93,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:04.039,94,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:04.196,95,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:04.539,96,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:04.693,97,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:05.054,98,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:05.195,99,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:05.571,100,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:05.710,101,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:06.086,102,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:06.254,103,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:06.601,104,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:06.758,105,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:07.101,106,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:07.258,107,RECV,7E001097010013A2004208FCCDFFFE44420031EB
05-04-2023 17:31:07.605,108,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:07.759,109,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:08.119,110,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:08.259,111,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:08.621,112,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:08.760,113,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:09.123,114,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:09.264,115,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:09.625,116,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:09.764,117,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:10.140,118,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:10.264,119,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:10.643,120,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:10.767,121,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:11.144,122,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:11.330,123,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:11.659,124,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:11.831,125,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:12.163,126,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:12.336,127,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:12.665,128,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:12.834,129,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:13.182,130,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:13.336,131,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:13.696,132,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:13.835,133,RECV,7E001097010013A2004208FCCDFFFE44420035E7
05-04-2023 17:31:14.212,134,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:14.337,135,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:14.729,136,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:14.900,137,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:15.243,138,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:15.397,139,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:15.759,140,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:15.899,141,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:16.273,142,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:16.398,143,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:16.790,144,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:16.959,145,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:17.303,146,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:17.458,147,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:17.818,148,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:17.957,149,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:18.332,150,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:18.456,151,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:18.833,152,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:18.973,153,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:19.347,154,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:19.518,155,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:19.849,156,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:20.019,157,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:20.363,158,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:20.518,159,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:20.879,160,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:21.017,161,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:21.393,162,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:21.579,163,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:21.895,164,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:22.020,165,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:22.410,166,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:22.581,167,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:22.927,168,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:23.081,169,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:23.440,170,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:23.581,171,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:23.957,172,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:24.094,173,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:24.458,174,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:24.645,175,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:24.961,176,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:25.086,177,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:25.475,178,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:25.646,179,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:25.991,180,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:26.146,181,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:26.508,182,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:26.648,183,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:27.013,184,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:27.152,185,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:27.529,186,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:27.654,187,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:28.042,188,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:28.211,189,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:28.543,190,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:28.717,191,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:29.045,192,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:29.215,193,RECV,7E001097010013A2004208FCCDFFFE44420032EA
05-04-2023 17:31:29.561,194,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:29.715,195,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:30.075,196,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:30.212,197,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:30.587,198,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:30.774,199,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:31.090,200,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:31.213,201,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:31.604,202,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:31.774,203,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:32.106,204,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:32.276,205,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:32.622,206,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:32.777,207,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:33.135,208,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:33.272,209,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:33.648,210,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:33.788,211,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:34.164,212,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:34.334,213,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:34.680,214,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:34.834,215,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:35.195,216,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:35.335,217,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:35.697,218,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:35.836,219,RECV,7E001097010013A2004208FCCDFFFE44420033E9
05-04-2023 17:31:36.213,220,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:36.337,221,RECV,7E001097010013A2004208FCCDFFFE44420034E8
05-04-2023 17:31:36.714,222,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:31:36.853,223,RECV,7E001097010013A2004208FCCDFFFE44420036E6
05-04-2023 17:31:37.229,224,SENT,7E000F17010013A2004208FCCDFFFE0244429A
