05-04-2023 17:10:05.819,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:11:56.887,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:11:57.056,1,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:11:57.398,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:11:57.553,3,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:11:57.900,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:11:58.054,5,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:11:58.414,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:11:58.554,7,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:11:58.928,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:11:59.070,9,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:11:59.431,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:11:59.554,11,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:11:59.945,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:00.116,13,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:12:00.460,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:00.615,15,RECV,7E001097010013A2004208FCCDFFFE44420028F4
05-04-2023 17:12:00.978,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:01.115,17,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:12:01.492,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:01.615,19,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:12:02.007,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:02.177,21,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:12:02.521,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:02.676,23,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:12:03.024,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:03.179,25,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:12:03.538,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:03.678,27,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:12:04.053,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:04.192,29,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:12:04.569,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:04.740,31,RECV,7E001097010013A2004208FCCDFFFE44420029F3
05-04-2023 17:12:05.085,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:05.241,33,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:12:05.598,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:05.738,35,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:12:06.098,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:12:06.239,37,RECV,7E001097010013A2004208FCCDFFFE44420028F4
