05-04-2023 17:53:01.706,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:53:19.289,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:19.456,1,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:19.799,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:19.954,3,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:20.312,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:20.452,5,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:20.828,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:21.014,7,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:21.342,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:21.514,9,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:21.843,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:22.021,11,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:22.345,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:22.518,13,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:53:22.848,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:23.016,15,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:23.361,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:23.517,17,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:23.863,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:24.017,19,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:24.379,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:24.518,21,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:24.894,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:25.033,23,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:25.409,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:25.580,25,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:25.925,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:26.080,27,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:26.428,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:26.584,29,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:53:26.944,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:27.083,31,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:27.460,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:27.583,33,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:53:27.974,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:28.145,35,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:28.476,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:28.644,37,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:28.988,38,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:29.145,39,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:29.490,40,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:29.647,41,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 17:53:30.005,42,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:30.146,43,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:30.506,44,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:30.647,45,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:31.009,46,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:31.149,47,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:31.524,48,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:31.649,49,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:32.041,50,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:32.210,51,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:32.555,52,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:32.711,53,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:33.057,54,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:33.211,55,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:33.573,56,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:33.712,57,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 17:53:34.086,58,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:34.227,59,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 17:53:34.589,60,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:34.775,61,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 17:53:35.105,62,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:35.275,63,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 17:53:35.607,64,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:35.778,65,RECV,7E001097010013A2004208FCCDFFFE4442003BE1
05-04-2023 17:53:36.123,66,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:36.276,67,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 17:53:36.638,68,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:53:36.777,69,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
