05-04-2023 17:14:24.441,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 17:15:06.463,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:06.600,1,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:06.976,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:07.145,3,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:07.490,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:07.646,5,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:07.992,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:08.147,7,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:08.506,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:08.647,9,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:09.021,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:09.145,11,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:09.524,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:09.647,13,RECV,7E001097010013A2004208FCCDFFFE4442002CF0
05-04-2023 17:15:10.037,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:10.208,15,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:10.552,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:10.707,17,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:11.066,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:11.204,19,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:11.580,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:11.702,21,RECV,7E001097010013A2004208FCCDFFFE4442002BF1
05-04-2023 17:15:12.094,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:12.266,23,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:15:12.594,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:12.766,25,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:15:13.094,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:13.264,27,RECV,7E001097010013A2004208FCCDFFFE4442002CF0
05-04-2023 17:15:13.611,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:13.767,29,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:15:14.125,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:14.265,31,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
05-04-2023 17:15:14.629,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 17:15:14.769,33,RECV,7E001097010013A2004208FCCDFFFE4442002AF2
